Reevaluate after: 18592 steps, with return 63.798483453083655
Improvement after: 18593 steps, with return 65.68117465395909, Elapsed: 14127.325593
Reevaluate after: 18644 steps, with return 59.40804553696993
Improvement after: 18660 steps, with return 64.27864485616371, Elapsed: 14179.890124
Reevaluate after: 18711 steps, with return 65.6414398615561
Improvement after: 18728 steps, with return 65.93850724790106, Elapsed: 14228.843979
Reevaluate after: 18779 steps, with return 64.82058191483762
Reevaluate after: 18830 steps, with return 66.5916337597802
Reevaluate after: 18881 steps, with return 65.99185224595064
Reevaluate after: 18932 steps, with return 65.25590481953228
Reevaluate after: 18983 steps, with return 65.24650656653041
Reevaluate after: 19034 steps, with return 67.62350493499063
Reevaluate after: 19085 steps, with return 65.54001709337332
Improvement after: 19093 steps, with return 67.15270626094375, Elapsed: 14500.1295
Improvement after: 19118 steps, with return 74.45143981113695, Elapsed: 14519.898826
Improvement after: 19124 steps, with return 76.12615131684647, Elapsed: 14523.647555
Reevaluate after: 19175 steps, with return 72.18758107372787
Improvement after: 19192 steps, with return 75.19744061637813, Elapsed: 14574.556055
Improvement after: 19198 steps, with return 78.86003856705283, Elapsed: 14580.060852
Reevaluate after: 19249 steps, with return 82.76041844288116
Reevaluate after: 19300 steps, with return 78.6815903098631
Reevaluate after: 19351 steps, with return 81.89427589428728
Reevaluate after: 19402 steps, with return 82.94155842813196
Reevaluate after: 19453 steps, with return 79.67638805784341
Reevaluate after: 19504 steps, with return 82.00384948046903
Reevaluate after: 19555 steps, with return 83.07977232035356
Reevaluate after: 19606 steps, with return 80.93754249662028
Reevaluate after: 19657 steps, with return 80.34260564149965
Reevaluate after: 19708 steps, with return 82.55670294972839
Reevaluate after: 19759 steps, with return 77.60298993288599
Reevaluate after: 19810 steps, with return 84.04245900730733
Reevaluate after: 19861 steps, with return 82.73201054207306
Reevaluate after: 19912 steps, with return 83.24867749634754
Reevaluate after: 19963 steps, with return 79.87262552525485
Reevaluate after: 20014 steps, with return 81.53630401815441
Reevaluate after: 20065 steps, with return 83.89566263199427
Reevaluate after: 20116 steps, with return 79.73349288200833
Reevaluate after: 20167 steps, with return 80.86356840632746
Reevaluate after: 20218 steps, with return 79.33618359876019
Reevaluate after: 20269 steps, with return 80.37383783837257
Reevaluate after: 20320 steps, with return 82.5205216967294
Reevaluate after: 20371 steps, with return 82.23477368914794
Reevaluate after: 20422 steps, with return 82.29893309664935
Reevaluate after: 20473 steps, with return 82.1965662510726
Reevaluate after: 20524 steps, with return 81.97641513672332
Reevaluate after: 20575 steps, with return 78.35130651947529
Improvement after: 20625 steps, with return 90.93223921176028, Elapsed: 15611.04013
Reevaluate after: 20676 steps, with return 90.36521070157687
Reevaluate after: 20727 steps, with return 91.77710018629634
Reevaluate after: 20778 steps, with return 91.08891629034957
Reevaluate after: 20829 steps, with return 91.40117211524753
Reevaluate after: 20880 steps, with return 91.41705619366692
Reevaluate after: 20931 steps, with return 87.06729077975301
Reevaluate after: 20982 steps, with return 91.41527928275437
Reevaluate after: 21033 steps, with return 87.94887496215338
Reevaluate after: 21084 steps, with return 91.66304964713876
Reevaluate after: 21135 steps, with return 90.27951489888218
Reevaluate after: 21186 steps, with return 91.58816383514926
Reevaluate after: 21237 steps, with return 88.96211593353492
Reevaluate after: 21288 steps, with return 91.35717296394904
Reevaluate after: 21339 steps, with return 91.39653832413288
Reevaluate after: 21390 steps, with return 88.53089087058231
Reevaluate after: 21441 steps, with return 92.24026273172537
Reevaluate after: 21492 steps, with return 89.20970064129138
Reevaluate after: 21543 steps, with return 92.16939428358764
Reevaluate after: 21594 steps, with return 90.69786068761051
Reevaluate after: 21645 steps, with return 90.64355006569981
Reevaluate after: 21696 steps, with return 91.36388884428993
Reevaluate after: 21747 steps, with return 91.51291793192544
Reevaluate after: 21798 steps, with return 91.07249752136323
Reevaluate after: 21849 steps, with return 91.557823595727
Reevaluate after: 21900 steps, with return 91.83990768004753
Reevaluate after: 21951 steps, with return 91.43023982182919
